age,gender,driving_experience,vehicle_age,annual_mileage,total_claims_cost
56,0,17,0,13244,13097.705650943746
69,0,40,1,19743,18611.524553464824
46,0,45,15,18333,15599.880231304473
32,1,32,0,18341,13125.786696312718
60,0,29,9,23691,19512.474091761826
25,0,3,17,6228,7061.3877724232925
38,0,40,7,10590,10989.38589162971
56,1,34,10,10585,11576.428242401998
36,1,40,1,14227,10816.490820750798
40,0,27,7,11046,9996.403908282557
28,0,13,7,17237,12240.320807896587
28,0,45,16,20649,14584.079472666053
41,0,33,14,9945,10049.259507411576
53,1,6,16,12927,12593.740699402468
57,1,24,12,17641,14575.097459163366
41,1,19,18,20998,15539.58464934577
20,1,16,4,18386,12142.228822423938
39,0,40,11,12016,11312.657822279114
19,0,28,0,19027,12319.404910916865
41,0,33,4,20920,16138.686394976257
61,1,48,7,18752,16562.928357563167
47,0,41,12,23268,17187.454169324832
55,1,13,7,23193,18111.25752133252
19,1,43,10,8167,7679.060315516964
38,0,45,0,16989,13473.645837377899
50,0,25,12,19087,15323.314499708777
29,0,42,18,7437,7999.189825503992
39,1,36,2,20275,14129.113523934457
61,0,27,16,10276,12814.473265103601
42,1,38,4,13859,12498.325654764572
66,0,7,19,12818,13063.158624766607
44,1,5,7,9728,9957.816041953069
59,1,43,13,24008,19306.050827504503
45,0,45,3,10738,10348.012944804603
33,1,31,10,10793,8963.499899463764
32,1,23,19,9523,9128.246634700861
64,0,42,14,10571,12746.64794304654
68,1,10,18,21209,19004.474425274835
61,0,32,6,20246,17519.299197324453
69,1,43,18,15380,16176.846568366114
20,0,30,18,7224,7013.539502001197
54,0,39,10,13389,13839.933590183584
68,1,31,4,20927,18376.75904586367
24,1,18,4,16684,11421.883219248011
38,1,36,7,15640,12009.869411851245
26,1,2,9,13662,11221.97348270311
56,1,14,5,11361,11108.908621345883
35,0,13,14,6948,7497.728631449918
21,1,29,15,17091,10798.135861795
42,0,12,16,16992,13685.399079384631
31,0,39,7,11318,9824.555218642403
67,1,2,7,17180,15872.63821918238
26,0,32,8,5234,5227.467184447783
43,0,13,1,20372,15332.452833690466
19,0,46,14,24991,15331.782299265193
37,0,27,17,5522,7436.497400318067
45,1,49,2,17718,14814.785634340533
64,0,41,16,14821,15241.13334206595
24,1,17,3,10832,8361.971278333433
61,1,40,3,17820,16249.5894099527
25,0,31,13,21211,14329.895319969362
64,1,34,8,12122,13160.446048725642
52,1,24,8,10842,11207.765435882386
31,1,45,17,6316,7723.9393393259115
34,0,35,9,18200,13022.221953226832
53,1,48,3,22508,18052.004329694333
67,1,6,11,20206,17347.326965403743
57,1,19,7,23971,18262.888133960983
21,0,30,1,6378,6515.248279515736
19,1,7,12,24758,14668.943178394315
23,0,10,15,6519,6118.289501423791
59,0,41,1,12935,12975.185617998019
21,0,32,10,11093,8758.033504462968
46,0,34,9,10355,10881.725054165758
35,0,28,14,14083,11188.357899745046
43,0,15,16,10574,10278.1530114433
61,1,30,7,18324,15692.198865740384
51,0,37,17,7257,9626.065773092254
27,1,29,8,18411,11810.551084136576
53,1,22,7,20233,15901.044873159222
31,0,4,13,20887,13162.393366959994
48,1,20,17,24621,17739.092156830244
65,1,32,19,7005,10856.152677061196
32,1,36,19,23400,16665.9475286328
25,1,4,11,15860,10282.53259684518
31,0,27,18,15070,11334.406807592763
40,1,17,13,14388,11683.237930404213
57,0,12,16,23156,17707.928174248613
38,1,22,2,23135,16502.127398710938
33,1,17,6,19609,13005.21631347519
62,0,10,16,21363,17371.797750507078
35,1,1,11,24604,16268.032624582203
64,1,22,8,21923,18432.091671521004
41,1,26,14,19823,14711.379222034899
43,0,18,17,22845,15633.450199748104
42,1,14,12,13547,11488.447889207247
62,0,47,7,16515,16283.514238090358
58,1,29,13,5234,9478.093703715214
46,0,12,7,19562,14949.208931179966
32,0,36,13,22932,15244.491004211503
62,1,35,6,12480,12687.164204855668
18,1,12,11,9213,6935.52082431705
42,0,7,10,15293,11573.310538859296
24,0,29,10,6673,7007.181111181255
26,1,11,12,7100,6256.676875566819
41,0,33,17,16849,13682.171359634252
18,1,6,1,24557,13235.61654062288
61,1,47,14,23199,18812.599065778246
25,1,15,19,8841,7147.569726434898
41,1,32,17,15197,11637.521791329094
28,0,11,14,13016,10218.921044668159
68,1,23,18,12011,14576.079769545786
34,0,26,11,9493,9561.236794671973
25,1,34,12,22058,14859.845344951902
52,0,46,10,13578,13001.939416027228
52,1,34,4,7158,9931.945114273913
